Stock Symbol,Stock URL
ADANIGREEN,https://www.screener.in/company/ADANIGREEN/consolidated/
SIEMENS,https://www.screener.in/company/SIEMENS/consolidated/
ADANIPOWER,https://www.screener.in/company/ADANIPOWER/consolidated/
TRENT,https://www.screener.in/company/TRENT/consolidated/
NESTLEIND,https://www.screener.in/company/NESTLEIND/
JSWSTEEL,https://www.screener.in/company/JSWSTEEL/consolidated/
ZOMATO,https://www.screener.in/company/ZOMATO/consolidated/
HINDZINC,https://www.screener.in/company/HINDZINC/
IOC,https://www.screener.in/company/IOC/consolidated/
539399,https://www.screener.in/company/539399/
IRFC,https://www.screener.in/company/IRFC/
JIOFIN,https://www.screener.in/company/JIOFIN/consolidated/
DLF,https://www.screener.in/company/DLF/consolidated/
VBL,https://www.screener.in/company/VBL/consolidated/
TATASTEEL,https://www.screener.in/company/TATASTEEL/consolidated/
VEDL,https://www.screener.in/company/VEDL/consolidated/
LTIM,https://www.screener.in/company/LTIM/consolidated/
GRASIM,https://www.screener.in/company/GRASIM/consolidated/
INDIGOPNTS,https://www.screener.in/company/INDIGOPNTS/
SBILIFE,https://www.screener.in/company/SBILIFE/
PFC,https://www.screener.in/company/PFC/consolidated/
ABBOTINDIA,https://www.screener.in/company/ABBOTINDIA/
TECHM,https://www.screener.in/company/TECHM/consolidated/
PIDILITIND,https://www.screener.in/company/PIDILITIND/consolidated/
HINDALCO,https://www.screener.in/company/HINDALCO/consolidated/
AMBUJACEM,https://www.screener.in/company/AMBUJACEM/consolidated/
HYUNDAI,https://www.screener.in/company/HYUNDAI/
HDFCLIFE,https://www.screener.in/company/HDFCLIFE/consolidated/
RECLTD,https://www.screener.in/company/RECLTD/consolidated/
DIVISLAB,https://www.screener.in/company/DIVISLAB/consolidated/
GAIL,https://www.screener.in/company/GAIL/consolidated/
BPCL,https://www.screener.in/company/BPCL/consolidated/
TATAPOWER,https://www.screener.in/company/TATAPOWER/consolidated/
GODREJCP,https://www.screener.in/company/GODREJCP/consolidated/
BRITANNIA,https://www.screener.in/company/BRITANNIA/consolidated/
EICHERMOT,https://www.screener.in/company/EICHERMOT/consolidated/
MOTHERSON,https://www.screener.in/company/MOTHERSON/consolidated/
LODHA,https://www.screener.in/company/LODHA/consolidated/
BANKBARODA,https://www.screener.in/company/BANKBARODA/consolidated/
CIPLA,https://www.screener.in/company/CIPLA/consolidated/
JSWENERGY,https://www.screener.in/company/JSWENERGY/consolidated/
TVSMOTOR,https://www.screener.in/company/TVSMOTOR/consolidated/
